Month,Year,TAM
07,1990,5.9
08,1990,5.2
09,1990,6.7
10,1990,1.6
11,1990,-4.3
12,1990,-3.4
01,1991,-4.0
02,1991,-1.9
03,1991,-4.8
04,1991,-3.7
05,1991,-1.1
06,1991,1.4
07,1991,4.2
08,1991,6.7
09,1991,3.0
10,1991,0.1
11,1991,-3.6
12,1991,-3.9
01,1992,-4.2
02,1992,-9.3
03,1992,-4.6
04,1992,-2.2
05,1992,0.6
06,1992,3.4
07,1992,4.8
08,1992,5.1
09,1992,4.6
10,1992,-2.8
11,1992,-2.5
12,1992,-4.9
01,1993,-7.1
02,1993,-9.0
03,1993,-6.6
04,1993,-6.2
05,1993,-1.9
06,1993,0.6
07,1993,3.6
08,1993,6.1
09,1993,2.2
10,1993,-3.5
11,1993,0.5
12,1993,-4.0
01,1994,-8.9
02,1994,-7.6
03,1994,-4.0
04,1994,-1.3
05,1994,-0.9
06,1994,2.7
07,1994,6.0
08,1994,4.9
09,1994,3.0
10,1994,-2.0
11,1994,-5.0
12,1994,-2.5
01,1995,-6.7
02,1995,-6.2
03,1995,-5.3
04,1995,-3.9
05,1995,-1.2
06,1995,2.8
07,1995,4.3
08,1995,4.8
09,1995,3.0
10,1995,-1.2
11,1995,-8.7
12,1995,-9.7
01,1996,-4.5
02,1996,-10.7
03,1996,-3.8
04,1996,-7.5
05,1996,-3.9
06,1996,1.9
07,1996,4.4
08,1996,6.0
09,1996,3.0
10,1996,0.5
11,1996,-1.8
12,1996,-9.3
01,1997,-10.5
02,1997,-9.2
03,1997,-5.5
04,1997,-7.7
05,1997,-2.2
06,1997,1.3
07,1997,4.2
08,1997,5.3
09,1997,2.8
10,1997,0.1
11,1997,-2.6
12,1997,-3.4
01,1998,-8.9
02,1998,-9.0
03,1998,-6.9
04,1998,-6.1
05,1998,-1.8
06,1998,1.4
07,1998,4.6
08,1998,6.4
09,1998,3.1
10,1998,1.0
11,1998,-1.1
12,1998,-3.8
01,1999,-3.8
02,1999,-5.5
03,1999,-2.4
04,1999,-3.8
05,1999,0.1
06,1999,4.7
07,1999,5.4
08,1999,4.6
09,1999,4.8
10,1999,0.9
11,1999,0.5
12,1999,-4.4
01,2000,-3.7
02,2000,-5.0
